"name","link","values_string"
Calendar myAIS Flash,"8yHOLQQsO",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
Calendar myAIS Flash,MYHOmWOUd,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FCalendarPack
calendar package x3 to myais,"0WHpZp6S8",https://myais.ais.co.th/openMyAISApp?scheme=ExtraPack
calendar package x3 to myais,"2WHWDV9fQ",https://myais.ais.co.th/openMyAISApp?scheme=ExtraPack
"30thAIS_AISPoints_Oct20","9WH7d27hG",https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
"30thAIS_AISPoints_Oct20",loHG68jUB,https://myais.ais.co.th/openMyAISApp?scheme=TodayCoupon
Account Linking Points plus,"1WHOaMrHO",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,"4RH8vpoS8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,DeHOV6Ot8,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,loH3nx9CB,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,qxHG8AqTO,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,wxHmqr2t1,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,YyHjPVrSE,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account linking Starbucks,qxHegeGtO,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account linking Starbucks,wxH6b6VC1,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking_KOL FB 4 เพจ,"2WHQEZOiQ",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking_KOL FB 4 เพจ,"3bH8PqbS8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Adhoc 19,TrackEN,https://myais.ais.co.th/help/track-and-trace?lang=EN
